timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766485598.5310447,2025-12-23 18:26:38,79.0,58.5,59.2
1766485608.4381433,2025-12-23 18:26:48,80.0,58.5,59.2
1766485619.5307515,2025-12-23 18:26:59,79.0,58.5,59.2
1766485633.672521,2025-12-23 18:27:13,79.0,58.5,59.2
1766485646.4081254,2025-12-23 18:27:26,80.0,58.5,59.2
1766485656.6409154,2025-12-23 18:27:36,79.0,58.5,59.2
1766485668.3910735,2025-12-23 18:27:48,79.0,58.5,59.2
1766485679.6708736,2025-12-23 18:27:59,80.0,58.5,59.2
1766485691.4880738,2025-12-23 18:28:11,80.0,58.5,59.2
1766485703.3127975,2025-12-23 18:28:23,79.0,58.5,59.2
1766485713.8790154,2025-12-23 18:28:33,80.0,58.5,59.2
1766485728.1944344,2025-12-23 18:28:48,80.0,58.5,59.2
1766485740.3738017,2025-12-23 18:29:00,80.0,58.5,59.2
1766485750.7092915,2025-12-23 18:29:10,80.0,58.5,59.2
1766485762.7362514,2025-12-23 18:29:22,79.0,58.5,59.2
1766485773.2353237,2025-12-23 18:29:33,83.0,58.5,59.2
1766485782.9802055,2025-12-23 18:29:42,80.0,58.5,59.2
1766485794.9514723,2025-12-23 18:29:54,80.0,58.5,59.2
1766485805.1357944,2025-12-23 18:30:05,80.0,58.5,59.2
1766485816.3217924,2025-12-23 18:30:16,80.0,58.5,59.2
1766485830.2785473,2025-12-23 18:30:30,80.0,58.5,59.2
1766485841.2388854,2025-12-23 18:30:41,80.0,58.5,59.2
1766485853.2098644,2025-12-23 18:30:53,75.0,58.5,59.2
1766485865.2584722,2025-12-23 18:31:05,79.0,58.5,59.2
1766485877.1926503,2025-12-23 18:31:17,80.0,58.5,59.2
1766485888.3188276,2025-12-23 18:31:28,79.0,58.5,59.2
1766485900.6557984,2025-12-23 18:31:40,79.0,58.5,59.2
1766485913.5955777,2025-12-23 18:31:53,82.0,58.5,59.2
1766485923.086205,2025-12-23 18:32:03,80.0,58.5,59.2
1766485932.7887092,2025-12-23 18:32:12,79.0,58.5,59.2
1766485943.941354,2025-12-23 18:32:23,82.0,58.5,59.2
1766485952.4698398,2025-12-23 18:32:32,80.0,58.5,59.2
1766485964.1378741,2025-12-23 18:32:44,82.0,58.5,59.2
1766485976.290137,2025-12-23 18:32:56,82.0,58.5,59.2
1766485988.228533,2025-12-23 18:33:08,83.0,58.5,59.2
1766486001.6806107,2025-12-23 18:33:21,80.0,58.5,59.2
1766486014.1491153,2025-12-23 18:33:34,79.0,58.5,59.2
1766486023.2139888,2025-12-23 18:33:43,80.0,58.5,59.2
1766486034.71155,2025-12-23 18:33:54,79.0,58.5,59.2
1766486046.181847,2025-12-23 18:34:06,80.0,58.5,59.2
1766486057.022945,2025-12-23 18:34:17,79.0,58.5,59.2
1766486069.8268685,2025-12-23 18:34:29,80.0,58.5,59.2
1766486083.348642,2025-12-23 18:34:43,80.0,58.5,59.2
1766486093.1416934,2025-12-23 18:34:53,80.0,58.5,59.2
1766486105.469653,2025-12-23 18:35:05,79.0,58.5,59.2
1766486116.2154737,2025-12-23 18:35:16,79.0,58.5,59.2
1766486128.8000205,2025-12-23 18:35:28,79.0,58.5,59.2
1766486139.7055855,2025-12-23 18:35:39,80.0,58.5,59.2
1766486150.1183498,2025-12-23 18:35:50,80.0,58.5,59.2
1766486159.3967633,2025-12-23 18:35:59,80.0,58.5,59.2
1766486170.6659825,2025-12-23 18:36:10,79.0,58.5,59.2
1766486182.5662634,2025-12-23 18:36:22,79.0,58.5,59.2
1766486195.303996,2025-12-23 18:36:35,82.0,58.5,59.2
1766486205.798841,2025-12-23 18:36:45,80.0,58.5,59.2
1766486219.147671,2025-12-23 18:36:59,80.0,58.5,59.2
1766486230.258691,2025-12-23 18:37:10,82.0,58.5,59.2
1766486241.4219651,2025-12-23 18:37:21,80.0,58.5,59.2
1766486250.8291411,2025-12-23 18:37:30,80.0,58.5,59.2
1766486262.1087923,2025-12-23 18:37:42,80.0,58.5,59.2
1766486273.3030493,2025-12-23 18:37:53,80.0,58.5,59.2
1766486286.9854612,2025-12-23 18:38:06,79.0,58.5,59.2
1766486298.428809,2025-12-23 18:38:18,79.0,58.5,59.2
1766486309.8388262,2025-12-23 18:38:29,80.0,58.5,59.2
1766486323.1433182,2025-12-23 18:38:43,80.0,58.5,59.0
1766486333.4734054,2025-12-23 18:38:53,80.0,58.5,59.2
1766486344.0187807,2025-12-23 18:39:04,83.0,58.5,59.2
1766486353.5026822,2025-12-23 18:39:13,80.0,58.5,59.0
1766486364.036148,2025-12-23 18:39:24,80.0,58.5,59.2
1766486373.9343903,2025-12-23 18:39:33,82.0,58.5,59.2
1766486385.605635,2025-12-23 18:39:45,80.0,58.5,59.2
1766486396.349812,2025-12-23 18:39:56,80.0,58.5,59.2
1766486408.453164,2025-12-23 18:40:08,82.0,58.5,59.2
1766486417.8073323,2025-12-23 18:40:17,82.0,58.5,59.0
1766486428.0794365,2025-12-23 18:40:28,80.0,58.5,59.2
1766486437.8584652,2025-12-23 18:40:37,83.0,58.5,59.0
1766486449.5105138,2025-12-23 18:40:49,82.0,58.5,59.2
1766486459.1380572,2025-12-23 18:40:59,80.0,58.5,59.2
1766486470.8155942,2025-12-23 18:41:10,82.0,58.5,59.0
1766486483.5962627,2025-12-23 18:41:23,83.0,58.5,59.2
1766486495.0310118,2025-12-23 18:41:35,80.0,58.5,59.0
1766486506.358918,2025-12-23 18:41:46,85.0,58.5,59.0
1766486518.1560216,2025-12-23 18:41:58,80.0,58.5,59.2
1766486529.996037,2025-12-23 18:42:09,80.0,58.5,59.2
1766486541.4889987,2025-12-23 18:42:21,83.0,58.5,59.2
1766486551.1206148,2025-12-23 18:42:31,80.0,58.5,59.0
1766486561.3657675,2025-12-23 18:42:41,82.0,58.5,59.2
